time,air_temp,water_temp,DO,Pressure,humidity,ldr
2024-06-30T07:22:16+00:00,30.82,29.375,26787.0,100109.23437,74.46094,666
2024-06-30T07:22:38+00:00,30.89,29.25,26585.0,100107.10938,75.92969,672
2024-06-30T07:23:00+00:00,30.78,29.25,25240.0,100104.76562,75.90039,674
2024-06-30T07:23:23+00:00,30.84,29.3125,23354.0,100101.51563,76.43848,676
2024-06-30T07:23:45+00:00,30.74,29.25,23389.0,100106.54688,75.37598,673
2024-06-30T07:24:07+00:00,31.09,29.3125,23467.0,100106.95312,78.11426,672
2024-06-30T07:24:29+00:00,31.44,29.375,24842.0,100106.28125,75.78613,667
2024-06-30T07:24:52+00:00,31.6,29.3125,25397.0,100106.15625,75.78906,660
2024-06-30T07:25:14+00:00,31.71,29.375,21852.0,100108.88281,74.34766,654
2024-06-30T07:25:36+00:00,31.56,29.375,21282.0,100107.03125,72.54297,653
2024-06-30T07:25:59+00:00,31.25,29.3125,21803.0,100105.96875,75.1416,654
2024-06-30T07:26:21+00:00,31.5,29.3125,20870.0,100106.08594,75.28809,658
2024-06-30T07:26:43+00:00,31.22,29.3125,24287.0,100106.91406,73.28906,663
2024-06-30T07:27:05+00:00,31.04,29.3125,26772.0,100101.4375,75.75586,665
2024-06-30T07:27:27+00:00,30.98,29.25,25382.0,100098.32812,73.4502,665
2024-06-30T07:27:49+00:00,31.29,29.25,23546.0,100097.0,75.87988,666
2024-06-30T07:28:12+00:00,31.24,29.25,23767.0,100100.89844,73.0918,667
2024-06-30T07:28:34+00:00,31.38,29.3125,23182.0,100101.09375,74.36328,668
2024-06-30T07:28:56+00:00,31.42,29.3125,23340.0,100102.375,72.70801,667
2024-06-30T07:29:19+00:00,31.25,29.3125,22613.0,100099.54688,72.91797,665
2024-06-30T07:29:41+00:00,31.19,29.3125,23261.0,100100.61719,72.69629,665
2024-06-30T07:30:03+00:00,31.26,29.3125,21916.0,100104.5625,74.64844,672
2024-06-30T07:30:26+00:00,31.36,29.3125,20683.0,100101.52344,73.37109,679
2024-06-30T07:30:48+00:00,31.68,29.3125,21488.0,100101.1875,73.58594,682
2024-06-30T07:31:10+00:00,31.72,29.3125,20619.0,100099.82813,72.54492,681
2024-06-30T07:31:32+00:00,31.81,29.3125,20933.0,100098.17187,71.50977,677
2024-06-30T07:31:54+00:00,31.38,29.3125,20000.0,100100.07812,73.30273,670
2024-06-30T07:32:17+00:00,31.39,29.375,20256.0,100097.46094,72.29199,662
2024-06-30T07:32:39+00:00,31.5,29.3125,21537.0,100094.49219,72.89746,654
2024-06-30T07:33:01+00:00,31.23,29.375,21852.0,100090.6875,73.24316,646
2024-06-30T07:33:24+00:00,31.28,29.375,21012.0,100095.01562,73.40527,642
2024-06-30T07:33:46+00:00,31.39,29.375,21788.0,100094.39062,73.91699,643
2024-06-30T07:34:08+00:00,30.91,29.375,20933.0,100093.3125,75.38086,652
2024-06-30T07:34:30+00:00,31.14,29.375,21567.0,100094.0625,73.00586,657
2024-06-30T07:34:52+00:00,31.09,29.3125,21253.0,100090.44531,75.4209,664
2024-06-30T07:35:15+00:00,30.84,29.3125,21361.0,100094.34375,73.82813,673
2024-06-30T07:35:37+00:00,31.3,29.3125,20270.0,100091.84375,74.44531,684
2024-06-30T07:35:59+00:00,31.34,29.375,20477.0,100089.92187,75.94434,693
2024-06-30T07:36:21+00:00,31.45,29.375,20982.0,100096.28125,74.36328,703
2024-06-30T07:36:43+00:00,31.42,29.3125,21596.0,100096.32813,75.4043,706
2024-06-30T07:37:08+00:00,31.76,29.375,24145.0,100090.375,74.55469,705
2024-06-30T07:37:30+00:00,31.76,29.375,23055.0,100088.5,71.56152,697
2024-06-30T07:37:52+00:00,31.39,29.375,22819.0,100088.25,73.13965,692
2024-06-30T07:38:14+00:00,31.44,29.375,22578.0,100094.03125,72.86426,688
2024-06-30T07:38:38+00:00,31.12,29.375,21979.0,100090.64062,73.09863,685
2024-06-30T07:39:00+00:00,31.47,29.375,22009.0,100088.99219,75.8252,685
2024-06-30T07:39:22+00:00,31.39,29.375,22421.0,100087.59375,73.89355,686
2024-06-30T07:39:44+00:00,31.42,29.4375,22736.0,100085.32812,73.79199,686
2024-06-30T07:40:06+00:00,31.35,29.4375,21739.0,100087.57031,73.40527,688
2024-06-30T07:40:29+00:00,31.27,29.4375,21822.0,100083.71875,73.68652,689
2024-06-30T07:40:51+00:00,31.49,29.4375,25648.0,100085.42188,75.35742,690
2024-06-30T07:41:13+00:00,31.1,29.4375,24607.0,100084.25,76.12891,693
2024-06-30T07:41:36+00:00,31.01,29.4375,26443.0,100080.25,73.04395,697
2024-06-30T07:41:59+00:00,31.22,29.4375,25603.0,100083.28125,73.33789,696
2024-06-30T07:42:21+00:00,31.03,29.4375,24592.0,100086.0625,73.91797,692
2024-06-30T07:42:44+00:00,31.07,29.4375,23732.0,100083.01562,75.19531,687
2024-06-30T07:43:06+00:00,31.21,29.375,25824.0,100081.29688,74.94727,684
2024-06-30T07:43:28+00:00,31.22,29.4375,24813.0,100078.26562,73.05469,682
2024-06-30T07:43:52+00:00,31.21,29.4375,23467.0,100076.0,73.28809,685
2024-06-30T07:44:14+00:00,31.26,29.4375,23403.0,100080.60937,74.25977,687
2024-06-30T07:44:36+00:00,31.14,29.4375,26315.0,100074.28125,73.07715,687
2024-06-30T07:44:58+00:00,30.84,29.4375,24778.0,100077.91406,75.56836,685
2024-06-30T07:45:44+00:00,30.81,29.4375,23546.0,100072.85156,75.92871,685
2024-06-30T07:46:07+00:00,30.79,29.4375,22927.0,100076.73437,74.99609,686
2024-06-30T07:46:31+00:00,30.68,29.4375,24037.0,100074.75,74.35645,689
2024-06-30T07:46:54+00:00,30.74,29.4375,25540.0,100076.91406,75.96387,692
2024-06-30T07:47:16+00:00,30.77,29.4375,25078.0,100073.48437,77.2373,694
2024-06-30T07:47:38+00:00,31.06,29.4375,24101.0,100072.5625,76.46387,696
2024-06-30T07:48:01+00:00,30.95,29.4375,23246.0,100069.07812,74.9873,694
2024-06-30T07:48:23+00:00,30.96,29.4375,22392.0,100065.79687,74.31738,692
2024-06-30T07:49:09+00:00,30.81,29.4375,21567.0,100066.35937,77.28027,687
2024-06-30T07:49:31+00:00,31.04,29.4375,23212.0,100068.84375,73.87207,685
2024-06-30T07:49:53+00:00,30.78,29.4375,23467.0,100064.59375,74.7002,687
2024-06-30T07:50:16+00:00,30.63,29.4375,24273.0,100060.8125,75.16992,691
2024-06-30T07:50:38+00:00,30.67,29.5,23070.0,100063.13281,74.64746,692
2024-06-30T07:51:00+00:00,30.86,29.4375,22058.0,100065.74219,76.68945,693
2024-06-30T07:51:22+00:00,30.67,29.4375,22991.0,100060.09375,76.74902,693
2024-06-30T07:51:44+00:00,30.87,29.4375,22642.0,100060.51563,77.08887,692
2024-06-30T07:52:07+00:00,31.02,29.5,21788.0,100059.46094,75.86914,691
2024-06-30T07:52:29+00:00,30.83,29.5,23133.0,100062.28906,75.9668,690
2024-06-30T07:52:51+00:00,30.48,29.5,22200.0,100055.10156,76.69531,690
2024-06-30T07:53:13+00:00,30.62,29.5,22186.0,100058.21875,77.13086,691
2024-06-30T07:53:36+00:00,30.71,29.5,22392.0,100059.59375,76.40527,692
2024-06-30T07:53:58+00:00,30.73,29.5,21503.0,100055.08594,74.55176,692
2024-06-30T07:54:20+00:00,30.76,29.5,21582.0,100053.09375,75.53223,692
2024-06-30T07:54:42+00:00,31.25,29.5,21061.0,100055.1875,75.18848,691
2024-06-30T07:55:05+00:00,30.97,29.5,23575.0,100053.3125,74.81445,688
2024-06-30T07:55:27+00:00,31.13,29.5,23575.0,100049.95313,74.00586,685
2024-06-30T07:55:49+00:00,31.11,29.5,23433.0,100053.28125,74.70898,681
2024-06-30T07:56:11+00:00,31.13,29.5,23246.0,100048.95312,74.0166,681
2024-06-30T07:56:57+00:00,31.28,29.5,23988.0,100044.38281,74.20605,686
2024-06-30T07:57:19+00:00,30.92,29.5,24052.0,100053.86719,74.37109,692
2024-06-30T07:57:42+00:00,30.9,29.5,24479.0,100048.84375,76.27148,694
2024-06-30T07:58:04+00:00,31.11,29.5625,23831.0,100049.30469,76.30566,701
2024-06-30T07:58:50+00:00,30.96,29.5625,23276.0,100047.04687,76.02441,698
2024-06-30T07:59:14+00:00,31.25,29.5,23816.0,100047.74219,73.76562,692
2024-06-30T07:59:36+00:00,30.99,29.5625,23148.0,100046.75,74.0293,686
2024-06-30T07:59:58+00:00,31.26,29.5625,23325.0,100043.95312,76.15625,678
2024-06-30T08:00:20+00:00,31.47,29.5,22564.0,100046.79687,74.70703,673
2024-06-30T08:00:42+00:00,31.41,29.5625,21965.0,100048.625,75.06348,673
2024-06-30T08:01:04+00:00,31.18,29.5625,21552.0,100049.46094,74.0127,678
2024-06-30T08:01:26+00:00,30.93,29.5625,22215.0,100041.45312,74.30273,682
